	Transliteration	Normalized
374	A2-pi5-la-ca-ta	Apilaša[]PN
375	A2-pi5-la-nu-um	Apilanum[]PN
376	A2-pi5-la-num2	Apilanum[]PN
377	A2-pi5-la-ti	Apilati[]PN
378	A2-pi5-la-tum	Apilatum[]PN
379	A2-pi5-li2	Apili[]PN
380	A2-pi5-li2-a	Apiliʾa[]PN
381	A2-pi5-li2-a-ta	Apiliʾa[]PN
382	A2-pi5-li2-ta	Apili[]PN
383	A2-pi5-lum	Apilum[]PN
384	A2-pi5-lum-ma	Apiluma[]PN
385	A2-ti-mu	Atiŋu[]PN
386	A2-tum-ce3	Atum[]PN
387	A2-u2-u2	Auu[]PN
388	A2-u2-u2-ta	Auu[]PN
389	A2-zi-da	Azida[]PN
390	A2-{d}Nanna	A₂.{d}Nana[]PN
391	A2-{d}Nanna-ta	A₂.{d}Nana[]PN
392	A2.DU-ni	A₂.DU.ni[]PN
393	AB-il2-la	AB.il₂.la[]PN
394	AB-ma-lik	AB.ma.lik[]PN
395	AB-na	AB.na[]PN
396	AB-ti-ga-nu-um	AB.ti.ga.nu.um[]PN
397	AB.NIN.AB-kam	AB.NIN.AB.kam[]PN
398	AB.NIN.AB-kam-ta	AB.NIN.AB.kam[]PN
399	AB.ZU-{d}Inanna	AB.ZU.{d}Inana[]PN
400	AC-SAHAR{mucen}	AŠ.SAHAR{mušen}[]PN
401	AC-a	AŠ.a[]PN
402	AC-ce3	AŠ[]PN
403	AC-ni-u18-ta	AŠ.ni.u₁₈[]PN
404	ACc	AŠš[]PN
405	ACcx6	AŠšx₆[]PN
406	AH-bu-ru-um	AH.bu.ru.um[]PN
407	AK-ba-ni	AK.ba.ni[]PN
408	AK-ta	AK[]PN
409	AM-ce3	AM[]PN
410	AM-i3-li2	AM.i₃.li₂[]PN
411	AMAR-ma-an{ki}	AMAR.ma.an{ki}[]SN
412	AMAR-ma-an{ki}-me	AMAR.ma.an{ki}.me[]SN
413	AMAR-ma-ma	AMAR.ma.ma[]PN
414	AN-AN-zu	AN.AN.zu[]PN
415	AN-DINGIR-su	AN.DINGIR.su[]PN
416	AN-ba-ti-ri-tum-ma	AN.ba.ti.ri.tum.ma[]PN
417	AN-bu-um	AN.bu.um[]PN
418	AN-dur	AN.dur[]PN
419	AN-ga-a	AN.ga.a[]PN
420	AN-ga-tum	AN.ga.tum[]PN
421	AN-kec2	AN.keš₂[]PN
422	AN-ku-zi-ri2	AN.ku.zi.ri₂[]PN
423	AN-la-il	AN.la.il[]PN
424	AN-lu2-bi	AN.lu₂.bi[]PN
425	AN-lu2-mug-sa6	AN.lu₂.mug.sag₉[]PN
426	AN-lu2-sa6	AN.lu₂.sag₉[]PN
427	AN-lugal	AN.lugal[]PN
428	AN-mu-ma-sum	AN.mu.ma.sum[]PN
429	AN-mu-ma-sum-me-ec2	AN.mu.ma.sum.me.eš₂[]PN
430	AN-na-a	AN.na.a[]PN
431	AN-ra-bi2-ta	AN.ra.bi₂[]PN
432	AN-sa6-ga	AN.sag₉.ga[]PN
433	AN-sukkal	AN.sukal[]PN
434	AN-ta	AN[]PN
435	AN-ti-a	AN.ti.a[]PN
436	AN.E2-il	AN.E₂.il[]PN
437	AN.ERIM-he2-zu	AN.ERIM.he₂.zu[]PN
438	AN.GA-mu	AN.GA.ŋu₁₀[]PN
439	AN.GAR3-ta	AN.GAR₃[]PN
440	AN.KAL.MA2-ke4	AN.KAL.MA₂[]PN
441	AN.MUNUS.UC-bi	AN.MUNUS.UŠ.bi[]PN
442	APIN-ce3	APIN[]PN
443	ARAD2-su2-ni	ARAD₂.su₂.ni[]PN
444	ARAD2-u3	ARAD₂.u₃[]PN
445	Ab-ab-sa6-ga	Ababsaga[]PN
446	Ab-ab-sa6-ga-ta	Ababsaga[]PN
447	Ab-ba	Aba[]PN
448	Ab-ba-a	Abaa[]PN
449	Ab-ba-a-ta	Abaa[]PN
450	Ab-ba-ba-ti	Ababati[]PN
451	Ab-ba-da-da	Abadada[]PN
452	Ab-ba-ge-na	Abagena[]PN
453	Ab-ba-kal-la	Abakala[]PN
454	Ab-ba-kal-la-ta	Abakala[]PN
455	Ab-ba-mu	Abaŋu[]PN
456	Ab-ba-na-ka	Abanaka[]PN
457	Ab-ba-ni-ir	Abanir[]PN
458	Ab-ba-sa6-a-ta	Abasaga[]PN
459	Ab-ba-sa6-ga	Abasaga[]PN
