	Transliteration	Normalized
20468	Pa-šim-e{ki}-me	Pašimeme[]SN
20469	Pa-šim-e{ki}-ta	Pašime[]SN
20470	Pa2-Pa2-an-še-en	Pa₂.Pa₂.an.še.en[]PN
20471	Pa2-la-šu-ra-ma	Palašurama[]PN
20472	Pa2-li-lum	Palilum[]PN
20473	Pa2-li2-lum	Palilum[]PN
20474	Pa2-li2-lum-še3	Palilum[]PN
20475	Pa2-na-na	Panana[]PN
20476	Pa2-pa2-an-še-en	Papanšen[]PN
20477	Pa2-pa2-an-še-en6	Papanšen[]PN
20478	Pa2-pa2-ša	Papaša[]PN
20479	Pa2-pa2-še-en6	Papašen[]PN
20480	Pa2-sa3-lum	Pasalum[]PN
20481	Pa2-za-nu-um	Pazanum[]PN
20482	Pa3-da	Pada[]PN
20483	Pa3-da-me	Padame[]PN
20484	Pa3-da-mu	Padaŋu[]PN
20485	Pa3-da-mu-ta	Padaŋu[]PN
20486	Pa3-da-ta	Pada[]PN
20487	Pa3-da-še3	Pada[]PN
20488	Pa3-mu-dabₓ	Pamudabₓ[]PN
20489	Pa4-a-pa4	Papa[]PN
20490	Pa4-a-pa4-a	Papaa[]PN
20491	Pa4-ap-pa4	Papa[]PN
20492	Pa4-bi	Pabi[]PN
20493	Pa4-bu3-uz-še3	Pabuz[]PN
20494	Pa4-enku-me	Paʾenkume[]PN
20495	Pa4-enku{ki}	Paʾenku[]SN
20496	Pa4-enku{ki}-še3	Paʾenku[]SN
20497	Pa4-ki-na-na	Pakinana[]PN
20498	Pa4-li-ir-dam-ka	Palirdamka[]PN
20499	Pa4-nim	Panim[]PN
20500	Pa4-pa4	Papa[]PN
20501	Pa4-pa4-a	Papaa[]PN
20502	Pa4-pa4-as{ki}	Papas[]SN
20503	Pa4-pa4-si2-tum	Papasitum[]PN
20504	Pa4-sikil-nun-na	Pasikilnuna[]PN
20505	Pa4-sikil-nun{ki}-ta	Pasikilnun[]SN
20506	Pa4-tibira{ki}-še3	Patibira[]SN
20507	Pa4-u2-e	Paʾuʾe[]PN
20508	Pa4-u2-e-ka	Paʾuʾeka[]PN
20509	Pa4-u2-e-ta	Paʾuʾe[]PN
20510	Pa4-u2-e-še3	Paʾuʾe[]PN
20511	Pa4-u2:e	Paʾuʾe[]PN
20512	Pa4-{x}-u2-e	Pauʾe[]PN
