| end of split   1 /  1 | epoch  29 | time: 521.90s | valid loss  0.67 | valid ppl     1.96 | learning rate 20.0000
| end of split   1 /  1 | epoch  30 | time: 518.52s | valid loss  0.67 | valid ppl     1.96 | learning rate 20.0000
| end of split   1 /  1 | epoch  31 | time: 516.82s | valid loss  0.67 | valid ppl     1.96 | learning rate 20.0000
| end of split   1 /  1 | epoch  32 | time: 515.52s | valid loss  0.67 | valid ppl     1.95 | learning rate 20.0000
| end of split   1 /  1 | epoch  33 | time: 516.06s | valid loss  0.67 | valid ppl     1.96 | learning rate 20.0000
| end of split   1 /  1 | epoch  34 | time: 516.85s | valid loss  0.67 | valid ppl     1.95 | learning rate 20.0000
| end of split   1 /  1 | epoch  35 | time: 521.17s | valid loss  0.67 | valid ppl     1.95 | learning rate 20.0000
| end of split   1 /  1 | epoch  36 | time: 521.98s | valid loss  0.67 | valid ppl     1.95 | learning rate 20.0000
| end of split   1 /  1 | epoch  37 | time: 518.51s | valid loss  0.67 | valid ppl     1.96 | learning rate 20.0000
| end of split   1 /  1 | epoch  38 | time: 517.00s | valid loss  0.67 | valid ppl     1.95 | learning rate 20.0000
| end of split   1 /  1 | epoch  39 | time: 515.41s | valid loss  0.67 | valid ppl     1.95 | learning rate 20.0000
| end of split   1 /  1 | epoch  40 | time: 516.20s | valid loss  0.66 | valid ppl     1.94 | learning rate 5.0000
| end of split   1 /  1 | epoch  41 | time: 517.10s | valid loss  0.66 | valid ppl     1.94 | learning rate 5.0000
| end of split   1 /  1 | epoch  42 | time: 519.65s | valid loss  0.66 | valid ppl     1.94 | learning rate 5.0000
| end of split   1 /  1 | epoch  43 | time: 521.59s | valid loss  0.66 | valid ppl     1.94 | learning rate 5.0000
| end of split   1 /  1 | epoch  44 | time: 518.38s | valid loss  0.66 | valid ppl     1.94 | learning rate 5.0000
| end of split   1 /  1 | epoch  45 | time: 516.68s | valid loss  0.66 | valid ppl     1.94 | learning rate 1.2500
| end of split   1 /  1 | epoch  46 | time: 515.31s | valid loss  0.66 | valid ppl     1.94 | learning rate 1.2500
| end of split   1 /  1 | epoch  47 | time: 516.24s | valid loss  0.66 | valid ppl     1.94 | learning rate 1.2500
| end of split   1 /  1 | epoch  48 | time: 517.36s | valid loss  0.66 | valid ppl     1.94 | learning rate 1.2500
| end of split   1 /  1 | epoch  49 | time: 519.87s | valid loss  0.67 | valid ppl     1.95 | learning rate 0.3125
| end of split   1 /  1 | epoch  50 | time: 521.66s | valid loss  0.67 | valid ppl     1.95 | learning rate 0.3125
TEST: valid loss  0.67 | valid ppl     1.95
